"X.1","X","Platform","AlbumNo","Album","Song","Streams"
26276,"Kendrick Lamar","Last.fm",6,"To_Pimp_A_Butterfly","Track8",1000911
26277,"Kendrick Lamar","Last.fm",6,"To_Pimp_A_Butterfly","Track9",1655149
26278,"Kendrick Lamar","Last.fm",6,"To_Pimp_A_Butterfly","Track10",1733699
26279,"Kendrick Lamar","Last.fm",6,"To_Pimp_A_Butterfly","Track11",1479941
26280,"Kendrick Lamar","Last.fm",6,"To_Pimp_A_Butterfly","Track12",1148360
26281,"Kendrick Lamar","Last.fm",6,"To_Pimp_A_Butterfly","Track13",2288845
26282,"Kendrick Lamar","Last.fm",6,"To_Pimp_A_Butterfly","Track14",1410317
26283,"Kendrick Lamar","Last.fm",6,"To_Pimp_A_Butterfly","Track15",3197465
26284,"Kendrick Lamar","Last.fm",6,"To_Pimp_A_Butterfly","Track16",1000034
26285,"Kendrick Lamar","Genius",6,"To_Pimp_a_Butterfly","Track1",1828693
26286,"Kendrick Lamar","Genius",6,"To_Pimp_a_Butterfly","Track2",1152678
26287,"Kendrick Lamar","Genius",6,"To_Pimp_a_Butterfly","Track3",4437697
26288,"Kendrick Lamar","Genius",6,"To_Pimp_a_Butterfly","Track4",1108895
26289,"Kendrick Lamar","Genius",6,"To_Pimp_a_Butterfly","Track5",1501505
26290,"Kendrick Lamar","Genius",6,"To_Pimp_a_Butterfly","Track6",1777755
26291,"Kendrick Lamar","Genius",6,"To_Pimp_a_Butterfly","Track7",3455977
26292,"Kendrick Lamar","Genius",6,"To_Pimp_a_Butterfly","Track8",792490
26293,"Kendrick Lamar","Genius",6,"To_Pimp_a_Butterfly","Track9",861197
26294,"Kendrick Lamar","Genius",6,"To_Pimp_a_Butterfly","Track10",1384630
26295,"Kendrick Lamar","Genius",6,"To_Pimp_a_Butterfly","Track11",1532993
26296,"Kendrick Lamar","Genius",6,"To_Pimp_a_Butterfly","Track12",733121
26297,"Kendrick Lamar","Genius",6,"To_Pimp_a_Butterfly","Track13",2947855
26298,"Kendrick Lamar","Genius",6,"To_Pimp_a_Butterfly","Track14",579368
26299,"Kendrick Lamar","Genius",6,"To_Pimp_a_Butterfly","Track15",2469918
26300,"Kendrick Lamar","Genius",6,"To_Pimp_a_Butterfly","Track16",1872134
26301,"Kendrick Lamar","YouTube",6,"To_Pimp_A_Butterfly","Track1",6691260
26302,"Kendrick Lamar","YouTube",6,"To_Pimp_A_Butterfly","Track2",13605188
26303,"Kendrick Lamar","YouTube",6,"To_Pimp_A_Butterfly","Track3",152574498
26304,"Kendrick Lamar","YouTube",6,"To_Pimp_A_Butterfly","Track4",3019568
26305,"Kendrick Lamar","YouTube",6,"To_Pimp_A_Butterfly","Track5",20521444
26306,"Kendrick Lamar","YouTube",6,"To_Pimp_A_Butterfly","Track6",19755080
26307,"Kendrick Lamar","YouTube",6,"To_Pimp_A_Butterfly","Track7",145739163
26308,"Kendrick Lamar","YouTube",6,"To_Pimp_A_Butterfly","Track8",19755080
26309,"Kendrick Lamar","YouTube",6,"To_Pimp_A_Butterfly","Track9",2270708
26310,"Kendrick Lamar","YouTube",6,"To_Pimp_A_Butterfly","Track10",3611951
26311,"Kendrick Lamar","YouTube",6,"To_Pimp_A_Butterfly","Track11",3599580
26312,"Kendrick Lamar","YouTube",6,"To_Pimp_A_Butterfly","Track12",1815124
26313,"Kendrick Lamar","YouTube",6,"To_Pimp_A_Butterfly","Track13",4653288
26314,"Kendrick Lamar","YouTube",6,"To_Pimp_A_Butterfly","Track14",2600738
